"","instnm","pub_status","conference","year","win_pct_diff","year2","applcn_pct_chng"
"321","Stanford","Private","Pac 12",2008,8.3,2009,20.3
"322","Texas Tech","Public","Big 12",2008,15.4,2009,2.5
"323","Alabama","Public","SEC",2008,31.9,2009,2.5
"324","Tennessee","Public","SEC",2008,-29.8,2009,-4.6
"325","Texas","Public","Big 12",2008,15.4,2009,6.3
"326","Arizona","Public","Pac 12",2008,19.9,2009,9.8
"327","Arkansas","Public","SEC",2008,-19.9,2009,-0.1
"328","California","Public","Pac 12",2008,15.4,2009,9.8
"329","UCLA","Public","Pac 12",2008,-12.8,2009,9.2
"330","Florida","Public","SEC",2008,23.6,2009,-2
"331","Georgia","Public","SEC",2008,-7.7,2009,2
"332","Illinois","Public","Big 10",2008,-27.6,2009,12.1
"333","Iowa","Public","Big 10",2008,19.2,2009,-3.4
"334","Kansas","Public","Big 12",2008,-30.8,2009,5.2
"335","Kentucky","Public","SEC",2008,-7.7,2009,4.7
"336","Maryland","Public","ACC",2008,15.4,2009,1
"337","Michigan","Public","Big 10",2008,-44.2,2009,0.5
"338","Minnesota","Public","Big 10",2008,45.5,2009,16.2
"339","Mississippi","Public","SEC",2008,44.2,2009,8.2
"340","North Carolina","Public","ACC",2008,28.2,2009,7.2
"341","Oklahoma","Public","Big 12",2008,7.1,2009,-14.8
"342","Oregon","Public","Pac 12",2008,7.7,2009,33
"343","South Carolina","Public","SEC",2008,3.8,2009,13.5
"344","Southern California","Private","Pac 12",2008,7.7,2009,-0.4
"345","Virginia","Public","ACC",2008,-27.6,2009,15
"346","Washington","Public","Pac 12",2008,-30.8,2009,1.6
"347","Wisconsin","Public","Big 10",2008,-15.4,2009,1.5
"348","Vanderbilt","Private","SEC",2008,12.2,2009,14.2
"349","Wake Forest","Private","ACC",2008,-7.7,2009,16.6
"350","Washington State","Public","Pac 12",2008,-26.3,2009,4.1
"351","Arizona State","Public","Pac 12",2009,-8.3,2010,4.5
"352","Auburn","Public","SEC",2009,19.9,2010,6.2
"353","Baylor","Private","Big 12",2009,0,2010,8.6
"354","Clemson","Public","ACC",2009,10.4,2010,12.3
"355","Duke","Private","ACC",2009,8.3,2010,18.7
"356","Florida State","Public","ACC",2009,-15.4,2010,11.1
"357","Georgia Tech","Public","ACC",2009,9.3,2010,11.4
"358","Indiana","Public","Big 10",2009,8.3,2010,11.2
"359","Iowa State","Public","Big 12",2009,37.2,2010,-0.1
"360","Kansas State","Public","Big 12",2009,8.3,2010,-1.7
"361","LSU","Public","SEC",2009,7.7,2010,5.5
"362","Michigan State","Public","Big 10",2009,-23.1,2010,6
"363","Mississippi State","Public","SEC",2009,8.3,2010,-17.6
"364","North Carolina State","Public","ACC",2009,-4.5,2010,6.4
"365","Northwestern","Private","Big 10",2009,-7.7,2010,1.4
"366","Ohio State","Public","Big 10",2009,7.7,2010,25.5
"367","Oklahoma State","Public","Big 12",2009,0,2010,15
"368","Oregon State","Public","Pac 12",2009,-7.7,2010,16.5
"369","Penn State","Public","Big 10",2009,0,2010,4.2
"370","Purdue","Public","Big 10",2009,8.3,2010,12.8
